,,,,,,,,,,,,,,,,
"#","Cyber Nodes",,,,,,,,,,,,,,,
"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]",,
"N","Cyber","#ef1234",,"1967",,,,,,,,,,,,
"N","NPL Network","#ef1234","Cyber","1968.08.05","1986",,,,,,,,,,,
"N","ARPANET","#bf1238","Cyber","1969.10.29","1990",,,,,,,,,,,
"N","WWW","#bf1238","Cyber","1990.12.20",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Legal Nodes",,,,,,,,,,,,,,,
"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]",,
"N","Legal","#003049",,"1967",,,,,,,,,,,,
"N","Wiretap Act","#003049","Legal","1968.06.19","1986",,"https://it.ojp.gov/PrivacyLiberty/authorities/statutes/1284",,,,,,,,
"N","Privacy Act","#003049","Legal","1974.12.31",,,,,,,,,,,,
"N","FISA","#003049","Legal","1978",,,,,,,,,,,,
"N","ECPA","#003049","Wiretap Act","1986",,,,,,,,,,,,
"N","CMPPA","#003049","Legal","1988",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Connectors",,,,,,,,,,,,,,,
"#","Leaving 'To When' empty will result in using 'From When' as this value",,,,,,,,,,,,,,,
"#","From When","From","To When","To","Thickness","Color",,,,,,,,,,
"C","1973","NPL Network",,"ARPANET","4","#bf1238",,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Domains",,,,,,,,,,,,,,,
"#","Category","Color","Intensity",,,,,,,,,,,,,
"D","Cyber","#0063dc","6",,,,,,,,,,,,,
"D","Legal","#003049","6",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Images",,,,,,,,,,,,,,,

